chunk_id,question
03-Prospecto-Gadopril#0000,¿Qué tipo de comprimido es GADOPRIL en venta?
03-Prospecto-Gadopril#0015,¿Qué ocurre con bradicinina al tomar Gadopril?
03-Prospecto-Gadopril#0045,¿Qué efecto tiene enalapril sobre la presión arterial en pacientes de raza negra?
Aclusin__D1584-E-1324-01-Instrucci_n-Aclusin#0060,¿Cuál medicamento debe usarse con precaución en pacientes con insuficiencia hepática severa?
Activil_Comp._Mast.__D0389-E-0929-02-Instrucci_n-Activil-Masticables#0075,¿Qué ocurre con el sildenafil en cardiopatías?
Albicar__D1805-E-1517-02-Instrucci_n-Albicar#0090,¿Cuál es la dosis inicial recomendada de Solución Bebible Adultos para un sujeto de 50 kg?
Alercas_60__D0186-E-0757-02-Instruccion-Alercas-60#0105,¿Cuál es la edad mínima para el uso seguro de fexofenadina en niños?
Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D#0120,¿Cuál es la acción presora de la pseudoefedrina en adultos normotensos?
Algicur__D2737-E-2415-01-Instruccion-Algicur#0135,¿Qué reacciones adversas son comunes en usuarios?
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué infecciones son tratadas con AMOCLAV DUO?
Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1#0165,¿Cuál medicamento debe evitarse al administrar AMOCLAV DUO?
Amoclav_SE__MKG-Instruccion-Amoclav-SE#0180,¿Qué precaución se requiere con Clostridium y disfunción hepática?
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0210,¿Qué papel juega la Atorvastatina en el metabolismo?
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0225,¿Qué pasa si tomas Interacci con otra medicina?
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0240,¿Cuántos comprimidos tiene cada envase?
Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO#0255,¿Qué efecto adverso ocurre con ezetimibe en monoterapia?
Ampliar_Plus__D1461-E-1203-03-Instrucci_n-Ampliar-Plus#0270,¿Cuál es la dosis máxima de atorvastatina?
Ampliar__D1174-E-0330-03-Instruccion-Ampliar-10-y-20#0285,¿Cómo afecta la insuficiencia renal a los niveles de atorvastatin?
Antimicon__E-1423-02-Instruccion-Antimicon#0300,¿Qué temperatura conserva el Flucanazol en Farmac?
Bemplas__D2948-E-2621-01-Instruccion-Bemblas-1#0315,¿Cuál es el efecto diurético de la clortalidona?
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0330,¿Qué precaución se recomienda especialmente en pacientes con antecedentes de descompensación cardíaca?
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0345,¿Qué se debe hacer con BLOKIUM B12 IM?
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0360,¿Cuál es el medicamento que puede inhibir la acción farmacológica de los diuréticos?
Blokium_Cox_Gesic__D7689-E-7350-01-INST.-BLOKIUM-COX-GESIC-COMPLETA-UHLMANN-200x600-web#0375,¿Qué efecto tiene el alcohol con paracetamol?
Blokium_Cox__Instruccion-Blokium-Cox-editable#0390,¿Cuál es la indicación principal del medicamento BLOKIUM COX?
Blokium_Cox__Instruccion-Blokium-Cox-editable#0405,¿Qué efecto adverso puede ocurrir con BLOKIUM COX?
Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos#0420,¿Cuál es el efecto del Diclofenac sobre litio?
Blokium_Gel__Instruccion-Blokium-Gel-editable#0435,Diclofenac ¿es un inhibidor de Acci o Farmacol?
Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web#0450,¿Qué medicamento antiinflamatorio se usa para dismenorrea?
Blokium_P__MKG-Instruccion-Blokium-P#0495,¿Cuál es el tipo de Acci que contiene diclofenac potásico?
Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect#0510,¿Cómo actúa el diclofenac en la inflamación?
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0540,¿Cuántas veces mayor fue la exposición al ácido bempedoico en pacientes con insuficiencia renal leve?
Broncho-Vaxom_C_psulas__D0265-E-0829-05-Instrucci_n-Broncho-Vaxom-C_psulas-1#0570,¿Qué precaución con BRONCHO-VAXOM durante el embarazo?
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0585,¿Qué impacto tiene la edad en el CLcr de levetiracetam?
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0600,¿Cuál fue el evento psiquiátrico informado con mayor frecuencia en pacientes tratados con levetiracetam?
Callexe_XR__Callexe-XR_compressed#0615,¿Qué peso tiene el excipiente en los comprimidos de Levetiracetam?
Callexe_XR__Callexe-XR_compressed#0630,¿Cómo afecta Levetiracetam a la farmacocinética del Valproato?
Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web#0645,¿Cuál es la dosis máxima recomendada de CARDIPLEN para el tratamiento de insuficiencia cardíaca crónica estable?
Carrier_20__D1958-E-1672-02-Instruccion-Carrier-20-1#0660,¿Cuál es el tratamiento sintomático para la demencia tipo Alzheimer de intensidad moderada a severa?
Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR#0690,¿Cuál es el número de certificado del medicamento CARRIER XR?
Cominar__D2745-E-2423-01-Instruccion-Cominar-1#0705,¿Cuánta lactosa contiene cada cápsula de DIACERE?
Conductasa_1200__Instruccion-Conductasa-1200-180x300-WEB#0720,¿Qué ocurre con NFkB al usar Mesalazina?
Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1#0750,¿Cómo afecta la inflamación a los corticoides tópicos como Farmacocin?
Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1#0765,¿Cuáles son las contraindicaciones de CORTICAS LUD?
Corticas_L__D1689-E-1557-01-Instrucci_n-Corticas-L-1#0780,¿Cuál es el efecto de la rifampicina en los corticosteroides durante la quimioprofilaxis?
Crada__Instruccion-Crada-Web-1#0795,¿Qué instrucciones reglan el uso de CRADA?
Crono_Corticas__D1735-E-1446-02-Instruccion-Crono-Corticas#0810,¿Temperatura ideal en Buenos Aires para conservar bajo receta?
Dercolina_A__Instruccion-Dercolina-A-Adultos#0840,¿Cuál es la edad mínima para usar DERCOLINA A Adultos en niños?
Dercolina__D2607-E-2285-01-Instruccion-Dercolina-Jalea#0855,¿Qué tipo de lesiones se mencionan en el contexto?
Detixol__D3222-E-2897-01-Instruccion-Detixol#0870,¿Cuántas horas prolonga el Succinato de doxilamina?
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0885,¿Puede la amantadina causar efectos adversos con diuréticos tiazídicos?
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0900,¿Qué síntomas deben notar pacientes de DILCORAN?
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0915,¿Qué ocurre con Hidroclorotiazida en pacientes con insuficiencia renal?
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0930,¿Qué efecto adverso se asocia con hidroclorotiazida en el útero?
Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus#0945,¿Qué pasa si tomas demasiado valsartán en DILCORAN PLUS?
Dilcoran__MKG-Instruccion-Dilcoran#0960,¿Qué efecto tiene el valsartán en hipertensos?
Elant__D3071-E-2744-01-Instruccion-Elant#0990,¿Qué clase ATC tiene la teneligliptina como medicamento?
Elifer__D1705-E-1406-02-Instruccion-Elifer#1005,¿Cuál es la cantidad de povidona K30 en cada comprimido recubierto de ELIFER 300?
Enabran__D1341-Instrucci_n-Enabran-1#1035,¿Cuál es el síntoma de hiperpirexia asociado al uso del haloperidol?
Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas#1050,¿Cuál es el síndrome que puede aparecer en pacientes con haloperidol a largo plazo?
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1065,¿Qué refiere COVANCE para Prolactina en adolescentes?
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1080,¿Cuántas veces la dosis diaria máxima recomendada en seres humanos recibieron los monos rhesus de olanzapina?
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1095,¿Qué riesgos hay con topiramato en pacientes?
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1110,¿Qué temperatura para EPISTAL según el certificado?
Ernex_Duo__D0299-E-0863-03-Instruccion-Ernex-Duo#1125,¿Cuál es el tipo de venta de Bencidamina?
Ernex_Rosa__D0680-E-0305-03-Instrucci_n-Ernex-Rosa-Polvo#1140,¿Qué cantidad de sodio contiene cada sobre de Bencidrina?
Exogel__Instruccion-Exogel-1#1155,¿Cuál es la temperatura óptima para conservar EXOGEL?
Explaner_LP__D1792-E-1508-02-Instrucci_n-Explaner-LP-1#1170,¿Qué efecto adverso puede ocurrir en pacientes con trastorno de la función hepática que toman nimodipina?
Factor_AE_Venta_Libre___D0751-E-1133-02-Instrucci_n-Factor-AE-1#1215,¿Qué temperatura es necesaria para conservar CASASCO?
Factor_AG__D0328-E-0291-04-Instrucci_n-Factor-AG-200-1-1#1245,¿Cuál es la cantidad de fosfato tricálcico en cada comprimido?
Factor_D_rmico__Instruccion-Factor-Dermico-Venta#1260,¿Qué tipo de hongos patógenos es efectivo el miconazol contra?
Fentaxina__D1514-E-1254-02-Instrucci_n-Fentaxina-1#1290,¿Qué tratamiento usar ante sobredosis de levofloxacina?
G00072203-01-april-web#1335,¿Cuál es el riesgo relativo de trombosis venosa en mujeres que usan anticonceptivos orales combinados con factores predisponentes?
G00072203-01-april-web#1350,"Dosis etinilestradiol en APRIL, cuánto por comprimido?"
G00072601-09-AMBISOME-Prospecto-web#1365,¿Cuánta anfotericina B hay por AMBISOME frasco?
G00072601-09-AMBISOME-Prospecto-web#1380,¿Cuál es el riesgo de hipopotasemia en pacientes que reciben AMBISOME?
